context,question,correct_answer,answer_start
"Os pesticidas podem causar efeitos agudos e retardados à saúde em pessoas expostas. A exposição a pesticidas pode causar uma variedade de efeitos adversos à saúde, variando de simples irritação da pele e dos olhos a efeitos mais graves, como afetando o sistema nervoso, imitando hormônios que causam problemas reprodutivos e também causando câncer. Uma revisão sistemática de 2007 constatou que ""a maioria dos estudos sobre linfoma não-Hodgkin e leucemia mostrou associações positivas com a exposição a pesticidas"" e, portanto, concluiu que o uso cosmético de pesticidas deve ser diminuído. Existem evidências substanciais de associações entre exposições a inseticidas organofosforados e alterações neurocomportamentais. Também existem evidências limitadas de outros resultados negativos da exposição a pesticidas, incluindo neurológicos, defeitos congênitos, morte fetal,",Os pesticidas podem ter um efeito sério nas pessoas?,causar efeitos agudos e retardados à saúde,20
"O design inovador de Burrel, que combinava o baixo custo de produção de um Apple II com o poder de computação do CPU de Lisa, o Motorola 68K, recebeu a atenção de Steve Jobs, co-fundador da Apple. Percebendo que o Macintosh era mais comercializável que o Lisa, ele começou a concentrar sua atenção no projeto. Raskin deixou a equipe em 1981 por causa de um conflito de personalidade com Jobs. Andy Hertzfeld, membro da equipe, disse que o design final do Macintosh está mais próximo das idéias de Jobs do que de Raskin. Depois de ouvir a tecnologia pioneira da GUI em desenvolvimento no Xerox PARC, Jobs negociou uma visita para ver o computador Xerox Alto e suas ferramentas de desenvolvimento Smalltalk em troca das opções de ações da Apple. As interfaces de usuário Lisa e Macintosh foram influenciadas pela tecnologia vista no Xerox PARC e foram combinadas com as próprias idéias do grupo Macintosh. Jobs também contratou o designer industrial Hartmut Esslinger para trabalhar na linha Macintosh, resultando na linguagem de design ""Branca de Neve""; embora tenha chegado tarde demais para os primeiros Macs, foi implementado na maioria dos outros computadores da Apple de meados do final da década de 1980. No entanto, a liderança de Jobs no projeto Macintosh não durou; depois de uma luta interna pelo poder com o novo CEO John Sculley, Jobs renunciou à Apple em 1985. Ele fundou a NeXT, outra empresa de computadores voltada para o mercado educacional, e não retornou até 1997, quando a Apple adquiriu a NeXT.",O que fez com que Steve Jobs se demitisse da Apple em 1985?,uma luta interna pelo poder,1284
"Aproximadamente 98% da Antártica é coberto pela camada de gelo da Antártica, uma camada de gelo com pelo menos 1,6 km de espessura. O continente possui cerca de 90% do gelo do mundo (e, portanto, cerca de 70% da água doce do mundo). Se todo esse gelo fosse derretido, o nível do mar aumentaria cerca de 60 m (200 pés). Na maior parte do interior do continente, a precipitação é muito baixa, chegando a 20 mm (0,8 pol) por ano; em algumas áreas de ""gelo azul"", a precipitação é menor que a perda de massa por sublimação e, portanto, o balanço de massa local é negativo. Nos vales secos, o mesmo efeito ocorre sobre uma base rochosa, levando a uma paisagem desidratada.",Quanto da Antártica está coberto de gelo?,98%,16
"O território de 89.015 km2 de Portugal Continental (34.369 milhas quadradas) é servido por quatro aeroportos internacionais localizados perto das principais cidades de Lisboa, Porto, Faro e Beja. A posição geográfica de Lisboa é uma escala para muitas companhias aéreas estrangeiras em vários aeroportos do país. A principal transportadora de bandeira é a TAP Portugal, embora muitas outras companhias aéreas domésticas prestem serviços dentro e fora do país. O governo decidiu construir um novo aeroporto fora de Lisboa, em Alcochete, para substituir o Aeroporto da Portela, embora este plano tenha sido interrompido devido à austeridade. Actualmente, os aeroportos mais importantes estão em Lisboa, Porto, Faro, Funchal (Madeira) e Ponta Delgada (Açores), geridos pelo grupo nacional de autoridades aeroportuárias ANA - Aeroportos de Portugal.",Qual é o principal porta-bandeiras em Portugal?,TAP Portugal,356
"As agências de justiça criminal na Inglaterra e no País de Gales usam pelo menos dois sistemas de classificação racial / étnica separados para denunciar crimes, a partir de 2010. Um é o sistema usado no Censo de 2001 quando os indivíduos se identificam como pertencentes a um grupo étnico específico: W1 (White- Britânicos), W2 (branco-irlandês), W9 (qualquer outro fundo branco); M1 (Caribe branco e preto), M2 (Africano branco e preto), M3 (Branco e asiático), M9 (Qualquer outro fundo misto); A1 (asiático-indiano), A2 (asiático-paquistanês), A3 (asiático-bengali), A9 (qualquer outro fundo asiático); B1 (Caribe Negro), B2 (Africano Negro), B3 (Qualquer outro fundo preto); O1 (chinês), O9 (qualquer outro). A outra são as categorias usadas pela polícia quando identificam visualmente alguém como pertencente a um grupo étnico, por ex. no momento de uma parada e busca ou prisão: Branco - Norte da Europa (IC1), Branco - Sul da Europa (IC2), Preto (IC3), Asiático (IC4), Chinês, Japonês ou Sudeste Asiático (IC5), Oriente Médio (IC6) e Desconhecido (IC0). ""IC"" significa ""Código de identificação;"" esses itens também são chamados de classificações de Phoenix. Os oficiais são instruídos a ""registrar a resposta que foi dada"", mesmo que a pessoa dê uma resposta que pode estar incorreta; sua própria percepção da origem étnica da pessoa é registrada separadamente. A comparabilidade das informações que estão sendo registradas pelos policiais foi questionada pelo Escritório de Estatísticas Nacionais (ONS) em setembro de 2007, como parte de sua Análise de Dados de Igualdade; Um problema citado foi o número de relatórios que continham uma etnia de ""Não declarado"".",IC de quê?,Código de identificação,1076
"Eventualmente, o LP de 33 polegadas e 300 rpm de 12 polegadas (300 mm) prevaleceu como formato predominante para álbuns musicais, e os LPs de 10 polegadas não foram mais emitidos. A última reedição da Columbia Records de qualquer música de Frank Sinatra em um disco de 10 polegadas foi um álbum chamado Hall of Fame, CL 2600, lançado em 26 de outubro de 1956, contendo seis músicas, uma de Tony Bennett, Rosemary Clooney e Johnnie Ray. , Frank Sinatra, Doris Day e Frankie Laine. O LP de 10 polegadas, no entanto, teve uma vida mais longa no Reino Unido, onde importantes álbuns britânicos de rock and roll como Lonnie Donegan, Lonnie Donegan Showcase e The Sound of Fury, de Billy Fury, foram lançados dessa forma. O disco de 7 polegadas (175 mm) a 45 rpm ou ""único"" estabeleceu um nicho significativo para discos de menor duração, normalmente contendo um item de cada lado. Os discos de 45 rpm normalmente emulavam o tempo de reprodução dos discos anteriores de 78 rpm, enquanto os discos LP de 12 polegadas forneciam até meia hora de material gravado por lado.",Que formato de LPs foi descontinuado?,10 polegadas,142
"Uma compreensão completa da adolescência na sociedade depende de informações de várias perspectivas, incluindo psicologia, biologia, história, sociologia, educação e antropologia. Dentro de todas essas perspectivas, a adolescência é vista como um período de transição entre a infância e a idade adulta, cujo objetivo cultural é a preparação das crianças para os papéis de adultos. É um período de múltiplas transições envolvendo educação, treinamento, emprego e desemprego, bem como transições de uma circunstância viva para outra.",Adolescente é visto como o quê?,um período de transição entre a infância e a idade adulta,244
"O presidente, eleito para um mandato de cinco anos, tem um cargo executivo: o atual presidente é Aníbal Cavaco Silva. A Assembléia da República é um parlamento de uma câmara composto por 230 deputados eleitos para um mandato de quatro anos. O Governo é chefiado pelo Primeiro Ministro (atualmente António Costa) e inclui Ministros e Secretários de Estado. Os Tribunais estão organizados em vários níveis, entre os ramos judicial, administrativo e fiscal. Os Supremos Tribunais são instituições de último recurso / recurso. Um Tribunal Constitucional de treze membros supervisiona a constitucionalidade das leis.",Por quantos anos o presidente de Portugal é eleito?,cinco,40
"O presidente Juárez mais uma vez baseou seu governo no estado de Chihuahua e serviu como centro da resistência contra a invasão francesa no México. Em 25 de março de 1866, ocorreu uma batalha na Plaza de Armas, no centro da cidade de Chihuahua, entre as forças imperiais francesas que guardavam a praça e as forças republicanas lideradas pelo general Terrazas. Por serem completamente pegos de surpresa, as forças imperiais francesas buscaram refúgio abrigando-se na Catedral da Santa Cruz, Nossa Senhora do Regla e St. Fancis de Assis e tornaram quase impossível penetrar em suas defesas. O General Terrazas decidiu então disparar uma pesada barragem de artilharia com balas de canhão de 8 kg. O primeiro canhão disparado tocou um sino na torre da igreja, quebrando-o instantaneamente ao meio; logo depois, 200 homens das forças do exército imperial se renderam. As forças republicanas recuperaram o controle sobre a capital do estado. O sino da igreja foi declarado monumento histórico e pode ser visto hoje na Catedral. Em abril de 1866, o governo do estado havia estabelecido uma rota comercial vital da cidade de Chihuahua para San Antonio, Texas; o governo começou a reabastecer seus suprimentos e reforçar sua luta contra as forças imperiais.",Quem decidiu disparar uma barragem de artilharia pesada com balas de canhão de 8 kg?,General Terrazas,592
"Uma vantagem inicial da CA é que os resistores que desperdiçam energia usados em locomotivas CC para controle de velocidade não eram necessários em uma locomotiva CA: várias torneiras no transformador podem fornecer uma variedade de tensões. Os enrolamentos de transformadores de baixa tensão separados fornecem iluminação e os motores que acionam as máquinas auxiliares. Mais recentemente, o desenvolvimento de semicondutores de potência muito alta fez com que o motor CA / CC ""universal"" clássico fosse amplamente substituído pelo motor de indução trifásico alimentado por um inversor de frequência, um inversor especial que varia a freqüência e a tensão para controlar velocidade do motor. Esses inversores podem funcionar igualmente bem em CC ou CA de qualquer frequência, e muitas locomotivas elétricas modernas são projetadas para lidar com diferentes tensões e frequências de suprimento para simplificar a operação transfronteiriça.",Como é possível fornecer diferentes faixas de tensão para locomotivas CA?,várias torneiras no transformador,167
"O Egito possui um mercado de energia desenvolvido baseado em carvão, petróleo, gás natural e energia hidrelétrica. Depósitos substanciais de carvão no nordeste do Sinai são extraídos à taxa de cerca de 600.000 toneladas (590.000 toneladas de comprimento; 660.000 toneladas de comprimento) por ano. Petróleo e gás são produzidos nas regiões desérticas ocidentais, no Golfo de Suez e no Delta do Nilo. O Egito possui enormes reservas de gás, estimadas em 2.180 quilômetros cúbicos (520 mi mi), e o GNL até 2012 exportado para muitos países. Em 2013, a Companhia Geral de Petróleo do Egito (EGPC) disse que o país reduzirá as exportações de gás natural e pedirá às principais indústrias que reduzam a produção neste verão para evitar uma crise energética e evitar conflitos políticos, informou a Reuters. O Egito está contando com o maior exportador de gás natural líquido (GNL) do Catar para obter volumes adicionais de gás no verão, enquanto incentiva as fábricas a planejar sua manutenção anual para os meses de pico de demanda, disse o presidente da EGPC, Tarek El Barkatawy. O Egito produz energia própria, mas é importador de petróleo desde 2008 e está rapidamente se tornando importador de gás natural.",Em que se baseia o mercado de energia da Egypts?,"carvão, petróleo, gás natural e energia hidrelétrica",61
"Há muito pouca voz atuando no jogo, como é o caso na maioria dos títulos de Zelda até hoje. Link permanece calado na conversa, mas resmunga ao atacar ou se machuca e ofega quando surpreendido. Suas emoções e respostas são amplamente indicadas visualmente por acenos de cabeça e expressões faciais. Outros personagens têm verbalizações similares independentes da linguagem, incluindo risadas, exclamações surpresas ou medrosas e gritos. A personagem de Midna tem mais dublagem - seu diálogo na tela é frequentemente acompanhado por uma tagarelice de pseudo-fala, produzida por embaralhar os fonemas de frases em inglês [melhor fonte necessária] amostradas pela atriz de voz japonesa Akiko Kōmoto.",Através do que a reação e o humor de Link podem ser discernidos?,acenos de cabeça e expressões faciais,259
"Uma implementação de software de simulação de referência, escrita na linguagem C e mais tarde conhecida como ISO 11172-5, foi desenvolvida (entre 1991 e 1996) pelos membros do comitê ISO MPEG Audio para produzir arquivos MPEG Audio compatíveis com bits (Camada 1, Camada 2, Camada 3). Foi aprovado como rascunho do comitê do relatório técnico da ISO / IEC em março de 1994 e impresso como documento CD 11172-5 em abril de 1994. Foi aprovado como rascunho do relatório técnico (DTR / DIS) em novembro de 1994, finalizado em 1996 e publicado como padrão internacional ISO / IEC TR 11172-5: 1998 em 1998. O software de referência na linguagem C foi posteriormente publicado como um padrão ISO disponível gratuitamente. Trabalhando em tempo não real em vários sistemas operacionais, conseguiu demonstrar a primeira decodificação de hardware em tempo real (baseada em DSP) de áudio compactado. Algumas outras implementações em tempo real dos codificadores MPEG Audio estavam disponíveis para fins de transmissão digital (rádio DAB, televisão DVB) para receptores de consumidores e decodificadores.",Quando o software de referência foi aprovado?,março de 1994,359
"O momento da puberdade pode ter importantes consequências psicológicas e sociais. Os meninos que amadurecem cedo são geralmente mais altos e mais fortes que seus amigos. Eles têm a vantagem de captar a atenção de parceiros em potencial e de serem escolhidos a dedo para esportes. Meninos pubescentes costumam ter uma boa imagem corporal, são mais confiantes, seguros e mais independentes. Os meninos que amadurecem tardiamente podem ter menos confiança por causa da má imagem corporal quando se comparam a amigos e colegas já desenvolvidos. No entanto, a puberdade precoce nem sempre é positiva para os meninos; a maturação sexual precoce em meninos pode ser acompanhada por maior agressividade devido ao aumento de hormônios que os afetam. Por parecerem mais velhos que seus pares, os meninos pubescentes podem enfrentar uma pressão social crescente para se conformar às normas dos adultos; a sociedade pode vê-los como mais emocionalmente avançados, apesar do fato de que seu desenvolvimento cognitivo e social pode ficar para trás da aparência. Estudos demonstraram que os meninos que amadurecem precocemente têm maior probabilidade de serem sexualmente ativos e têm maior probabilidade de participar de comportamentos de risco.",A atividade sexual e os comportamentos de risco são mais prováveis em meninos que amadurecem cedo ou mais tarde?,cedo,108
"A década de 1980 inaugurou a era da computação de mesa. Os novos computadores capacitaram seus usuários com planilhas como Lotus 1-2-3 e software de banco de dados como dBASE. O produto dBASE era leve e fácil para qualquer usuário de computador entender imediatamente. C. Wayne Ratliff, criador do dBASE, declarou: ""O dBASE era diferente de programas como BASIC, C, FORTRAN e COBOL, pois grande parte do trabalho sujo já havia sido realizado. A manipulação de dados é feita pelo dBASE, e não pelo usuário. , para que o usuário possa se concentrar no que está fazendo, em vez de precisar mexer nos detalhes sujos de abertura, leitura e fechamento de arquivos e gerenciamento de alocação de espaço. "" O dBASE foi um dos títulos de software mais vendidos nos anos 80 e no início dos anos 90.",Qual é a vantagem de usar o dBASE?,gerenciamento de alocação de espaço,660
"O artigo 10 da Convenção de Berna determina que as leis nacionais prevejam limitações aos direitos autorais, para que a proteção dos direitos autorais não se estenda a certos tipos de usos que se enquadram no que o tratado chama de ""prática justa"", incluindo, entre outros, citações mínimas usadas no jornalismo e educação. As leis que implementam essas limitações e exceções para usos que de outra forma estariam infringindo se enquadram amplamente nas categorias de uso justo ou negociação justa. Nos sistemas de direito consuetudinário, esses estatutos de prática justa geralmente consagram princípios subjacentes a muitos precedentes judiciais anteriores e são considerados essenciais à liberdade de expressão.",Como o artigo 10 da Convenção de Berna chama certos usos que limitam os direitos autorais?,prática justa,233
"Ele foi pioneiro na aplicação da teoria dos operadores à mecânica quântica, no desenvolvimento da análise funcional, um membro principal do Projeto Manhattan e do Instituto de Estudos Avançados de Princeton (como um dos poucos originalmente designados) e uma figura-chave no desenvolvimento da teoria dos jogos e dos conceitos de autômatos celulares, o construtor universal e o computador digital. Ele publicou 150 artigos em sua vida; 60 em matemática pura, 20 em física e 60 em matemática aplicada. Seu último trabalho, um manuscrito inacabado escrito enquanto estava no hospital, foi posteriormente publicado em forma de livro como O Computador e o Cérebro.","De seus trabalhos publicados, quais tópicos eles estavam cobrindo?","60 em matemática pura, 20 em física e 60 em matemática aplicada",436
"Na década de 1980, o verde se tornou a cor de vários novos partidos políticos europeus organizados em torno de uma agenda do ambientalismo. O verde foi escolhido por sua associação com natureza, saúde e crescimento. O maior partido verde da Europa é a Alliance '90 / The Greens (alemão: Bündnis 90 / Die Grünen) na Alemanha, formada em 1993 a partir da fusão do Partido Verde Alemão, fundado na Alemanha Ocidental em 1980, e Alliance 90, fundada durante a Revolução de 1989-1990 na Alemanha Oriental. Nas eleições federais de 2009, o partido conquistou 10,7% dos votos e 68 dos 622 assentos no Bundestag.",Quando foi fundado o Partido Verde Alemão na Alemanha Ocidental?,1980,417
"A visão de consenso na paleontologia contemporânea é que os terópodes voadores, ou avialans, são os parentes mais próximos dos deinonicoossauros, que incluem dromaeossaurídeos e troodontídeos. Juntos, eles formam um grupo chamado Paraves. Alguns membros básicos deste grupo, como o Microraptor, possuem recursos que podem ter permitido que eles planassem ou voassem. Os deinonicoossauros mais básicos eram muito pequenos. Essa evidência levanta a possibilidade de que o ancestral de todos os paravianos possa ter sido arbóreo, capaz de planar, ou ambos. Ao contrário do Archaeopteryx e dos dinossauros de penas não avialanos, que comiam principalmente carne, estudos recentes sugerem que os primeiros avialanos eram onívoros.",Quais são os parentes mais próximos dos deinoniquossauros?,terópodes voadores,60
"De volta a Varsóvia naquele ano, Chopin ouviu Niccolò Paganini tocando violino e compôs um conjunto de variações, Lembrança de Paganini. Pode ter sido essa experiência que o encorajou a começar a escrever seu primeiro Études, (1829-1832), explorando as capacidades de seu próprio instrumento. Em 11 de agosto, três semanas após concluir seus estudos no Conservatório de Varsóvia, ele estreou em Viena. Ele fez dois concertos para piano e recebeu muitas críticas favoráveis - além de alguns comentários (nas próprias palavras de Chopin) de que ele era ""muito delicado para aqueles acostumados a bater piano de artistas locais"". Em um desses shows, ele estreou suas Variações em Là ci darem la mano, Op. 2 (variações de uma ária da ópera de Mozart, Don Giovanni) para piano e orquestra. Ele retornou a Varsóvia em setembro de 1829, onde estreou seu Concerto para Piano No. 2 em Fá menor, op. 21 em 17 de março de 1830.",O que Chopin compôs depois de ouvir Niccolo Paganini?,Lembrança de Paganini,114
"O sistema de ensino médio e médio na Suazilândia é um programa de cinco anos dividido em três anos de ensino médio e dois anos de ensino médio. Há um exame público externo (Certificado Júnior) no final do ensino fundamental que os alunos precisam passar para avançar para o ensino médio. O Conselho de Exame da Suazilândia (ECOS) administra esse exame. No final do ensino médio, os alunos fazem um exame público, o Certificado Geral de Ensino Secundário da Suazilândia (SGCSE) e o Certificado Geral Internacional de Ensino Secundário (IGCSE), que são credenciados pelo Exame Internacional de Cambridge (CIE). Algumas escolas oferecem o programa de Estudos Avançados em seu currículo.",O que é o ECOS dentro do sistema educacional suazi?,Conselho de Exame da Suazilândia,290
"A desinfecção solar da água (SODIS) envolve a exposição de garrafas plásticas de polietileno tereftalato (PET) cheias de água à luz do sol por várias horas. Os tempos de exposição variam de acordo com o clima e o clima, de no mínimo seis horas a dois dias durante condições totalmente nubladas. É recomendado pela Organização Mundial de Saúde como um método viável para tratamento doméstico de água e armazenamento seguro. Mais de dois milhões de pessoas nos países em desenvolvimento usam esse método para a sua água potável diária.",O que a Organização Mundial da Saúde diz sobre a desinfecção solar da água?,um método viável para tratamento doméstico de água e armazenamento seguro,348
"Além da lignocelulose, a madeira consiste em uma variedade de compostos orgânicos de baixo peso molecular, chamados extrativos. Os extrativos de madeira são ácidos graxos, ácidos resinosos, ceras e terpenos. Por exemplo, a resina é exsudada pelas coníferas como proteção contra insetos. A extração desses materiais orgânicos da madeira fornece óleo alto, aguarrás e resina.","Extrativos de madeira incluem resina e ácidos graxos, terpenos e que outro componente?",ceras,190
"Existe um amplo consenso de que as categorias raciais comuns no uso diário são socialmente construídas e que os grupos raciais não podem ser definidos biologicamente. No entanto, alguns estudiosos argumentam que categorias raciais obviamente se correlacionam com traços biológicos (por exemplo, fenótipo) até certo ponto, e que certos marcadores genéticos têm frequências variadas entre as populações humanas, algumas das quais correspondem mais ou menos aos grupos raciais tradicionais. Por esse motivo, não há consenso atual sobre se as categorias raciais podem ser consideradas como tendo significado para entender a variação genética humana.",Que tipo de categorização no uso diário existe um amplo acordo de que é apenas uma construção social?,raciais,46
"Os resultados provisórios do Censo de Mianmar de 2014 mostram que a população total é de 51.419.420. Esse número inclui 1.206.353 pessoas estimadas em partes do norte de Rakhine, Kachin e Kayin, que não foram contadas. As pessoas que estavam fora do país no momento do censo não estão incluídas nessas figuras. Existem mais de 600.000 trabalhadores migrantes registrados de Mianmar na Tailândia e milhões a mais trabalham ilegalmente. Os trabalhadores migrantes birmaneses representam 80% dos trabalhadores migrantes da Tailândia. A densidade populacional é de 76 por quilômetro quadrado (200 / sq mi), entre as mais baixas do Sudeste Asiático.",Quantas pessoas na Birmânia estão atualmente usando um visto de trabalho para a Tailândia?,600.000 trabalhadores migrantes registrados de Mianmar na Tailândia,327
"À medida que os avanços e a especialização tornaram as novas pesquisas científicas inacessíveis para a maioria das audiências, a natureza ""literária"" da escrita científica tornou-se menos pronunciada nos últimos dois séculos. Agora, a ciência aparece principalmente em periódicos. Os trabalhos científicos de Aristóteles, Copérnico e Newton ainda exibem grande valor, mas, como a ciência neles se tornou amplamente ultrapassada, eles não servem mais para instrução científica. No entanto, eles permanecem técnicos demais para se encaixar bem na maioria dos programas de estudo literário. Fora dos programas de ""história da ciência"", os alunos raramente lêem tais obras.",O trabalho de quais cientistas clássicos são pegos entre estar desatualizado e de importância literária?,"Aristóteles, Copérnico e Newton",309
"O Congresso geralmente aprova estatutos que concedem ampla autoridade de regulamentação às agências federais. Freqüentemente, o Congresso é simplificado demais para elaborar estatutos detalhados que explicam como a agência deve reagir a todas as situações possíveis, ou o Congresso acredita que os especialistas técnicos da agência estão melhor equipados para lidar com situações de fatos específicas à medida que surgem. Portanto, as agências federais estão autorizadas a promulgar regulamentos. Sob o princípio da deferência da Chevron, os regulamentos normalmente exercem força de lei desde que sejam baseados em uma interpretação razoável dos estatutos relevantes.",As agências federais estão autorizadas a tornar públicas quais?,regulamentos,483
"No primeiro volume de seus Parerga e Paralipomena, Schopenhauer escreveu seu ""Esboço de uma história da doutrina do ideal e do real"". Ele definiu o ideal como sendo figuras mentais que constituem conhecimento subjetivo. O ideal, para ele, é o que pode ser atribuído à nossa própria mente. As imagens em nossa cabeça são o que compõem o ideal. Schopenhauer enfatizou que estamos restritos à nossa própria consciência. O mundo que aparece é apenas uma representação ou imagem mental dos objetos. Diretamente e imediatamente conhecemos apenas representações. Todos os objetos externos à mente são conhecidos indiretamente através da mediação de nossa mente. Ele ofereceu uma história do conceito de ""ideal"" como ""ideacional"" ou ""existente na mente como uma imagem"".",No que Schopenhauer acreditava que estávamos restritos?,nossa própria consciência,390
"Outros jornais importantes incluem o Miami Today, com sede em Brickell, Miami New Times, com sede em Midtown, Miami Sun Post, South Florida Business Journal, Miami Times e Biscayne Boulevard Times. Outros jornais em espanhol, o Diario Las Americas também servem Miami. O Miami Herald é o principal jornal de Miami com mais de um milhão de leitores e está sediado em Downtown, no Herald Plaza. Vários outros jornais estudantis das universidades locais, como o mais antigo, o The Miami Hurricane, da Universidade de Miami, o The Beacon, da Universidade Internacional da Flórida, o The Metropolis de Miami-Dade College, o O Bucaneiro da Barry University, entre outros. Muitos bairros e áreas vizinhas também têm seus próprios jornais locais, como o Aventura News, o Coral Gables Tribune, o Biscayne Bay Tribune e o Palmetto Bay News.",Qual é o nome do jornal estudantil da Barry University?,O Bucaneiro,619
"A transformação, diferentemente da transdução ou conjugação, depende de numerosos produtos de genes bacterianos que interagem especificamente para realizar esse processo complexo, e, portanto, a transformação é claramente uma adaptação bacteriana para a transferência de DNA. Para que uma bactéria se ligue, pegue e recombine o DNA do doador em seu próprio cromossomo, ela deve primeiro entrar em um estado fisiológico especial denominado competência (consulte Competência natural). No Bacillus subtilis, são necessários cerca de 40 genes para o desenvolvimento da competência. O comprimento do DNA transferido durante a transformação de B. subtilis pode estar entre um terço de um cromossomo e todo o cromossomo. A transformação parece ser comum entre as espécies bacterianas e, até o momento, sabe-se que pelo menos 60 espécies têm a capacidade natural de se tornarem competentes para a transformação. O desenvolvimento da competência na natureza geralmente está associado a condições ambientais estressantes e parece ser uma adaptação para facilitar o reparo de danos ao DNA nas células receptoras.",Quão simples é o processo de transformação?,esse processo complexo,156
"Himachal foi um dos poucos estados que permaneceu praticamente intocado pelos costumes externos, em grande parte devido ao seu terreno difícil. Com os avanços tecnológicos, o estado mudou muito rapidamente. É um estado multireligional, multicultural e multilíngue, como outros estados indianos. Algumas das línguas mais faladas incluem Hindi, Pahari, Dogri, Mandeali Kangri, Mandyali, Gojri e Kinnauri. As comunidades de castas que residem em Himachal incluem os Khatri, os Brahmins da Fé Hindu e os Sikh Brahmin Casta Bhatra, Rajputs, Gujjars, Gaddis, Ghirth (Kannets), Kannets, Rathis e Kolis, Sood. Existem populações tribais no estado que compreendem principalmente Kinnars, Pangawals, Sulehria e Lahaulis. O povo de Himachal Pradesh é muito simples e vive um estilo de vida tradicional 'Pahari'.",Quem foi em grande parte intocado pelos costumes externos?,Himachal,0
"Muawiyah também incentivou a coexistência pacífica com as comunidades cristãs da Síria, concedendo seu reinado com ""paz e prosperidade para cristãos e árabes"", e um de seus conselheiros mais próximos era Sarjun, pai de João de Damasco. Ao mesmo tempo, ele travou uma guerra incessante contra o Império Romano Bizantino. Durante seu reinado, Rodes e Creta foram ocupados e vários ataques foram lançados contra Constantinopla. Após o fracasso, e diante de um levante cristão em larga escala na forma dos Mardaitas, Muawiyah concluiu uma paz com Bizâncio. Muawiyah também supervisionou a expansão militar no norte da África (a fundação de Kairouan) e na Ásia Central (a conquista de Cabul, Bukhara e Samarcanda).",Quem era o filho de Sarjun?,João de Damasco,219
"Os compostos binários de zinco são conhecidos pela maioria dos metalóides e todos os não-metais, exceto os gases nobres. O óxido ZnO é um pó branco que é quase insolúvel em soluções aquosas neutras, mas é anfotérico, dissolvendo-se em soluções fortes e básicas de ácidos. Os outros calcogenetos (ZnS, ZnSe e ZnTe) têm aplicações variadas em eletrônica e óptica. Pnictogenidas (Zn 3N 2, Zn 3P 2, Zn 3As 2 e Zn 3Sb 2), o peróxido (ZnO 2), o hidreto (ZnH 2) e o carboneto (ZnC 2) também são conhecidos. Dos quatro halogenetos, o ZnF 2 tem o caráter mais iônico, enquanto os outros (ZnCl 2, ZnBr 2 e ZnI 2) têm pontos de fusão relativamente baixos e são considerados de caráter mais covalente.",Quais aplicações os calcogenetos têm?,eletrônica e óptica.,341
"O grego moderno possui, além do grego moderno padrão ou do Dimotiki, uma grande variedade de dialetos de níveis variados de inteligibilidade mútua, incluindo cipriota, pôntico, capadócio, griko e tsakonian (o único representante sobrevivente do grego dórico antigo). O ievânico é a língua dos romaniotes e sobrevive em pequenas comunidades na Grécia, Nova York e Israel. Além do grego, muitos gregos da Grécia e da diáspora são bilíngues em outros idiomas ou dialetos como inglês, arvanitika / albanês, aromânico, esloveno macedônio, russo e turco.",Que linguagem antiga ainda hoje é usada em algumas sociedades minúsculas do mundo grego?,"O ievânico é a língua dos romaniotes e sobrevive em pequenas comunidades na Grécia, Nova York e Israel.",267
"A maioria dos IMs ocorre devido a doença arterial coronariana. Os fatores de risco incluem pressão alta, tabagismo, diabetes, falta de exercício, obesidade, colesterol alto, dieta inadequada e ingestão excessiva de álcool, entre outros. O mecanismo de um infarto do miocárdio geralmente envolve o bloqueio completo de uma artéria coronária causada por uma ruptura de uma placa aterosclerótica. Os IMs são menos comumente causados por espasmos nas artérias coronárias, que podem ser causados por cocaína, estresse emocional significativo e frio extremo, entre outros. Vários testes são úteis para ajudar no diagnóstico, incluindo eletrocardiogramas (ECGs), exames de sangue e angiografia coronariana. Um ECG pode confirmar uma Elevação do ST MI se houver elevação do ST. Os exames de sangue comumente usados incluem troponina e menos frequentemente creatina quinase MB.",O que o ECG pode confirmar?,Elevação do ST,726
"Cães domésticos herdaram comportamentos complexos, como a inibição da mordida, de seus ancestrais, que seriam caçadores de matilhas com linguagem corporal complexa. Essas formas sofisticadas de cognição e comunicação social podem explicar sua treinabilidade, brincadeira e capacidade de se encaixar nos lares humanos e nas situações sociais, e esses atributos deram aos cães um relacionamento com os seres humanos que lhes permitiu tornar-se uma das espécies mais bem sucedidas do planeta hoje.:pages95-136",Atributos sociais e relacionamentos humanos mais elevados podem ter causado os cães a alcançar o que como espécie?,uma das espécies mais bem sucedidas do planeta hoje.,442
"No Reino da Holanda, os britânicos lançaram a Campanha Walcheren para abrir uma segunda frente na guerra e aliviar a pressão sobre os austríacos. O exército britânico só desembarcou em Walcheren em 30 de julho, quando os austríacos já haviam sido derrotados. A Campanha Walcheren foi caracterizada por pouca luta, mas pesadas baixas, graças à popularmente chamada ""Febre Walcheren"". Mais de 4000 tropas britânicas foram perdidas em uma campanha estragada, e o restante retirou-se em dezembro de 1809. O principal resultado estratégico da campanha se tornou o atraso no acordo político entre franceses e austríacos. O imperador Francisco queria esperar e ver como os britânicos se apresentavam em seu teatro antes de iniciar negociações com Napoleão. Uma vez que ficou claro que os britânicos estavam indo a lugar nenhum, os austríacos concordaram em negociações de paz.",Quando os britânicos se retiraram de Walcheren?,dezembro de 1809,483
